env,episode,policy,use_history,history_window,max_steps,model,mock,success,steps,reward,tokens,time,resolved_env,n_episodes_setting
MiniGrid-LavaGapS7-v0,0,BoT_history_k3,True,3,50,Qwen/Qwen2.5-3B-Instruct,False,False,50,0.0,116,7.231685161590576,MiniGrid-LavaGapS7-v0,10
MiniGrid-LavaGapS7-v0,1,BoT_history_k3,True,3,50,Qwen/Qwen2.5-3B-Instruct,False,False,50,0.0,232,13.609893798828125,MiniGrid-LavaGapS7-v0,10
MiniGrid-LavaGapS7-v0,2,BoT_history_k3,True,3,50,Qwen/Qwen2.5-3B-Instruct,False,False,50,0.0,347,19.957367181777954,MiniGrid-LavaGapS7-v0,10
MiniGrid-LavaGapS7-v0,3,BoT_history_k3,True,3,50,Qwen/Qwen2.5-3B-Instruct,False,False,50,0.0,465,26.57645297050476,MiniGrid-LavaGapS7-v0,10
MiniGrid-LavaGapS7-v0,4,BoT_history_k3,True,3,50,Qwen/Qwen2.5-3B-Instruct,False,False,50,0.0,591,33.48885536193848,MiniGrid-LavaGapS7-v0,10
MiniGrid-LavaGapS7-v0,5,BoT_history_k3,True,3,50,Qwen/Qwen2.5-3B-Instruct,False,True,12,0.9448979591836735,619,35.022592544555664,MiniGrid-LavaGapS7-v0,10
MiniGrid-LavaGapS7-v0,6,BoT_history_k3,True,3,50,Qwen/Qwen2.5-3B-Instruct,False,True,12,0.9448979591836735,647,36.56247305870056,MiniGrid-LavaGapS7-v0,10
MiniGrid-LavaGapS7-v0,7,BoT_history_k3,True,3,50,Qwen/Qwen2.5-3B-Instruct,False,False,50,0.0,763,42.950746059417725,MiniGrid-LavaGapS7-v0,10
MiniGrid-LavaGapS7-v0,8,BoT_history_k3,True,3,50,Qwen/Qwen2.5-3B-Instruct,False,True,12,0.9448979591836735,791,44.487099409103394,MiniGrid-LavaGapS7-v0,10
MiniGrid-LavaGapS7-v0,9,BoT_history_k3,True,3,50,Qwen/Qwen2.5-3B-Instruct,False,False,50,0.0,907,50.85934925079346,MiniGrid-LavaGapS7-v0,10
MiniGrid-LavaGapS7-v0,0,BoT_history_k3,True,3,100,Qwen/Qwen2.5-3B-Instruct,False,False,100,0.0,233,13.113751411437988,MiniGrid-LavaGapS7-v0,10
MiniGrid-LavaGapS7-v0,1,BoT_history_k3,True,3,100,Qwen/Qwen2.5-3B-Instruct,False,False,100,0.0,465,25.841333389282227,MiniGrid-LavaGapS7-v0,10
MiniGrid-LavaGapS7-v0,2,BoT_history_k3,True,3,100,Qwen/Qwen2.5-3B-Instruct,False,True,12,0.9448979591836735,493,27.380397081375122,MiniGrid-LavaGapS7-v0,10
