model,env,resolved_env,n_episodes_setting,max_steps,error
Qwen/Qwen2.5-3B-Instruct,MiniGrid-LavaGapS7-v0,MiniGrid-LavaGapS7-v0,10,50,Data processing error: File Reconstruction Error: IO Error: No space left on device (os error 28)
Qwen/Qwen2.5-3B-Instruct,MiniGrid-LavaGapS7-v0,MiniGrid-LavaGapS7-v0,10,100,Data processing error: File Reconstruction Error: IO Error: No space left on device (os error 28)
Qwen/Qwen2.5-3B-Instruct,MiniGrid-BlockedUnlockPickup-v0,MiniGrid-BlockedUnlockPickup-v0,10,50,Data processing error: File Reconstruction Error: IO Error: No space left on device (os error 28)
Qwen/Qwen2.5-3B-Instruct,MiniGrid-BlockedUnlockPickup-v0,MiniGrid-BlockedUnlockPickup-v0,10,100,Data processing error: File Reconstruction Error: IO Error: No space left on device (os error 28)
Qwen/Qwen2.5-3B-Instruct,MiniGrid-DoorKey-5x5-v0,MiniGrid-DoorKey-5x5-v0,10,50,Data processing error: File Reconstruction Error: IO Error: No space left on device (os error 28)
Qwen/Qwen2.5-3B-Instruct,MiniGrid-DoorKey-5x5-v0,MiniGrid-DoorKey-5x5-v0,10,100,Data processing error: File Reconstruction Error: IO Error: No space left on device (os error 28)
Qwen/Qwen2.5-3B-Instruct,MiniGrid-Empty-8x8-v0,MiniGrid-Empty-8x8-v0,10,50,Data processing error: File Reconstruction Error: IO Error: No space left on device (os error 28)
Qwen/Qwen2.5-3B-Instruct,MiniGrid-Empty-8x8-v0,MiniGrid-Empty-8x8-v0,10,100,Data processing error: File Reconstruction Error: IO Error: No space left on device (os error 28)
Qwen/Qwen2.5-7B-Instruct,MiniGrid-LavaGapS7-v0,MiniGrid-LavaGapS7-v0,10,50,Data processing error: File Reconstruction Error: IO Error: No space left on device (os error 28)
Qwen/Qwen2.5-7B-Instruct,MiniGrid-LavaGapS7-v0,MiniGrid-LavaGapS7-v0,10,100,Data processing error: File Reconstruction Error: IO Error: No space left on device (os error 28)
Qwen/Qwen2.5-7B-Instruct,MiniGrid-BlockedUnlockPickup-v0,MiniGrid-BlockedUnlockPickup-v0,10,50,Data processing error: File Reconstruction Error: IO Error: No space left on device (os error 28)
Qwen/Qwen2.5-7B-Instruct,MiniGrid-BlockedUnlockPickup-v0,MiniGrid-BlockedUnlockPickup-v0,10,100,Data processing error: File Reconstruction Error: IO Error: No space left on device (os error 28)
Qwen/Qwen2.5-7B-Instruct,MiniGrid-DoorKey-5x5-v0,MiniGrid-DoorKey-5x5-v0,10,50,Data processing error: File Reconstruction Error: IO Error: No space left on device (os error 28)
Qwen/Qwen2.5-7B-Instruct,MiniGrid-DoorKey-5x5-v0,MiniGrid-DoorKey-5x5-v0,10,100,Data processing error: File Reconstruction Error: IO Error: No space left on device (os error 28)
Qwen/Qwen2.5-7B-Instruct,MiniGrid-Empty-8x8-v0,MiniGrid-Empty-8x8-v0,10,50,Data processing error: File Reconstruction Error: IO Error: No space left on device (os error 28)
Qwen/Qwen2.5-7B-Instruct,MiniGrid-Empty-8x8-v0,MiniGrid-Empty-8x8-v0,10,100,Data processing error: File Reconstruction Error: IO Error: No space left on device (os error 28)
