env,episode,policy,use_history,history_window,max_steps,model,mock,success,steps,reward,tokens,time,resolved_env,n_episodes_setting
MiniGrid-LavaGapS7-v0,0,BoT_history_k3,True,3,50,Qwen/Qwen2.5-7B-Instruct,False,False,15,0.0,40,1.8556621074676514,MiniGrid-LavaGapS7-v0,10
MiniGrid-LavaGapS7-v0,1,BoT_history_k3,True,3,50,Qwen/Qwen2.5-7B-Instruct,False,True,11,0.9494897959183674,65,2.557904005050659,MiniGrid-LavaGapS7-v0,10
MiniGrid-LavaGapS7-v0,2,BoT_history_k3,True,3,50,Qwen/Qwen2.5-7B-Instruct,False,True,15,0.9311224489795918,101,3.5623252391815186,MiniGrid-LavaGapS7-v0,10
MiniGrid-LavaGapS7-v0,3,BoT_history_k3,True,3,50,Qwen/Qwen2.5-7B-Instruct,False,False,15,0.0,141,4.663613557815552,MiniGrid-LavaGapS7-v0,10
MiniGrid-LavaGapS7-v0,4,BoT_history_k3,True,3,50,Qwen/Qwen2.5-7B-Instruct,False,True,11,0.9494897959183674,166,5.361567258834839,MiniGrid-LavaGapS7-v0,10
MiniGrid-LavaGapS7-v0,5,BoT_history_k3,True,3,50,Qwen/Qwen2.5-7B-Instruct,False,True,15,0.9311224489795918,202,6.370946407318115,MiniGrid-LavaGapS7-v0,10
MiniGrid-LavaGapS7-v0,6,BoT_history_k3,True,3,50,Qwen/Qwen2.5-7B-Instruct,False,True,11,0.9494897959183674,227,7.067084550857544,MiniGrid-LavaGapS7-v0,10
MiniGrid-LavaGapS7-v0,7,BoT_history_k3,True,3,50,Qwen/Qwen2.5-7B-Instruct,False,False,50,0.0,344,10.33640456199646,MiniGrid-LavaGapS7-v0,10
MiniGrid-LavaGapS7-v0,8,BoT_history_k3,True,3,50,Qwen/Qwen2.5-7B-Instruct,False,True,11,0.9494897959183674,369,11.03881311416626,MiniGrid-LavaGapS7-v0,10
MiniGrid-LavaGapS7-v0,9,BoT_history_k3,True,3,50,Qwen/Qwen2.5-7B-Instruct,False,True,15,0.9311224489795918,405,12.057339668273926,MiniGrid-LavaGapS7-v0,10
