model,env,n_episodes_setting,max_steps,buffer_size,history_window,success,steps,reward,tokens,time
Qwen/Qwen2.5-3B-Instruct,MiniGrid-BlockedUnlockPickup-v0,5,50,2,1,0.0,50.0,0.0,130.4,4.480926465988159
Qwen/Qwen2.5-3B-Instruct,MiniGrid-BlockedUnlockPickup-v0,5,50,2,2,0.0,50.0,0.0,137.4,4.693527746200561
Qwen/Qwen2.5-3B-Instruct,MiniGrid-BlockedUnlockPickup-v0,5,50,2,3,0.0,50.0,0.0,137.6,4.7071083068847654
Qwen/Qwen2.5-3B-Instruct,MiniGrid-BlockedUnlockPickup-v0,5,50,3,1,0.0,50.0,0.0,122.0,4.249054479598999
Qwen/Qwen2.5-3B-Instruct,MiniGrid-BlockedUnlockPickup-v0,5,50,3,2,0.0,50.0,0.0,125.4,4.48115382194519
Qwen/Qwen2.5-3B-Instruct,MiniGrid-BlockedUnlockPickup-v0,5,50,3,3,0.0,50.0,0.0,115.8,4.073987054824829
Qwen/Qwen2.5-3B-Instruct,MiniGrid-DoorKey-5x5-v0,5,50,2,1,0.0,50.0,0.0,149.2,5.0817468643188475
Qwen/Qwen2.5-3B-Instruct,MiniGrid-DoorKey-5x5-v0,5,50,2,2,0.0,50.0,0.0,140.0,4.831112861633301
Qwen/Qwen2.5-3B-Instruct,MiniGrid-DoorKey-5x5-v0,5,50,2,3,0.0,50.0,0.0,148.4,4.989698886871338
Qwen/Qwen2.5-3B-Instruct,MiniGrid-DoorKey-5x5-v0,5,50,3,1,0.0,50.0,0.0,147.8,4.995630407333374
Qwen/Qwen2.5-3B-Instruct,MiniGrid-DoorKey-5x5-v0,5,50,3,2,0.0,50.0,0.0,132.6,4.502945756912231
Qwen/Qwen2.5-3B-Instruct,MiniGrid-DoorKey-5x5-v0,5,50,3,3,0.0,50.0,0.0,141.2,4.721996879577636
Qwen/Qwen2.5-3B-Instruct,MiniGrid-Empty-8x8-v0,5,50,2,1,1.0,24.0,0.915625,52.0,1.7584990978240966
Qwen/Qwen2.5-3B-Instruct,MiniGrid-Empty-8x8-v0,5,50,2,2,1.0,24.0,0.915625,52.0,1.7468777179718018
Qwen/Qwen2.5-3B-Instruct,MiniGrid-Empty-8x8-v0,5,50,2,3,1.0,24.0,0.915625,52.0,1.8091442584991455
Qwen/Qwen2.5-3B-Instruct,MiniGrid-Empty-8x8-v0,5,50,3,1,1.0,24.0,0.915625,52.0,1.7919520378112792
Qwen/Qwen2.5-3B-Instruct,MiniGrid-Empty-8x8-v0,5,50,3,2,1.0,24.0,0.915625,52.0,1.824274444580078
Qwen/Qwen2.5-3B-Instruct,MiniGrid-Empty-8x8-v0,5,50,3,3,1.0,24.0,0.915625,52.0,1.7476128578186034
Qwen/Qwen2.5-3B-Instruct,MiniGrid-LavaGapS7-v0,5,50,2,1,0.0,50.0,0.0,150.0,5.4150214195251465
Qwen/Qwen2.5-3B-Instruct,MiniGrid-LavaGapS7-v0,5,50,2,2,0.0,50.0,0.0,150.0,5.117794704437256
Qwen/Qwen2.5-3B-Instruct,MiniGrid-LavaGapS7-v0,5,50,2,3,0.0,50.0,0.0,150.0,5.096637630462647
Qwen/Qwen2.5-3B-Instruct,MiniGrid-LavaGapS7-v0,5,50,3,1,0.0,50.0,0.0,150.0,5.11592583656311
Qwen/Qwen2.5-3B-Instruct,MiniGrid-LavaGapS7-v0,5,50,3,2,0.0,50.0,0.0,150.0,5.16106538772583
Qwen/Qwen2.5-3B-Instruct,MiniGrid-LavaGapS7-v0,5,50,3,3,0.0,50.0,0.0,150.0,5.141473388671875
Qwen/Qwen2.5-7B-Instruct,MiniGrid-BlockedUnlockPickup-v0,5,50,2,1,0.0,50.0,0.0,118.0,3.2915512561798095
Qwen/Qwen2.5-7B-Instruct,MiniGrid-BlockedUnlockPickup-v0,5,50,2,2,0.0,50.0,0.0,117.8,3.6763601303100586
Qwen/Qwen2.5-7B-Instruct,MiniGrid-BlockedUnlockPickup-v0,5,50,2,3,0.0,50.0,0.0,118.0,3.7746527671813963
Qwen/Qwen2.5-7B-Instruct,MiniGrid-BlockedUnlockPickup-v0,5,50,3,1,0.0,50.0,0.0,100.0,2.8383091926574706
Qwen/Qwen2.5-7B-Instruct,MiniGrid-BlockedUnlockPickup-v0,5,50,3,2,0.0,50.0,0.0,105.0,3.3428221702575684
Qwen/Qwen2.5-7B-Instruct,MiniGrid-BlockedUnlockPickup-v0,5,50,3,3,0.0,50.0,0.0,105.8,3.4627360820770265
Qwen/Qwen2.5-7B-Instruct,MiniGrid-DoorKey-5x5-v0,5,50,2,1,0.0,50.0,0.0,149.8,4.194511747360229
Qwen/Qwen2.5-7B-Instruct,MiniGrid-DoorKey-5x5-v0,5,50,2,2,0.0,50.0,0.0,146.0,4.175706386566162
Qwen/Qwen2.5-7B-Instruct,MiniGrid-DoorKey-5x5-v0,5,50,2,3,0.0,50.0,0.0,135.2,4.105348539352417
Qwen/Qwen2.5-7B-Instruct,MiniGrid-DoorKey-5x5-v0,5,50,3,1,0.0,50.0,0.0,128.6,3.5501835346221924
Qwen/Qwen2.5-7B-Instruct,MiniGrid-DoorKey-5x5-v0,5,50,3,2,0.0,50.0,0.0,118.4,3.502123212814331
Qwen/Qwen2.5-7B-Instruct,MiniGrid-DoorKey-5x5-v0,5,50,3,3,0.0,50.0,0.0,127.6,3.8891797065734863
Qwen/Qwen2.5-7B-Instruct,MiniGrid-Empty-8x8-v0,5,50,2,1,1.0,13.0,0.954296875,29.0,0.7867094516754151
Qwen/Qwen2.5-7B-Instruct,MiniGrid-Empty-8x8-v0,5,50,2,2,1.0,24.0,0.915625,52.0,1.4134796142578125
Qwen/Qwen2.5-7B-Instruct,MiniGrid-Empty-8x8-v0,5,50,2,3,1.0,13.0,0.954296875,29.0,0.8030038356781006
Qwen/Qwen2.5-7B-Instruct,MiniGrid-Empty-8x8-v0,5,50,3,1,1.0,13.0,0.954296875,29.0,0.7855650901794433
Qwen/Qwen2.5-7B-Instruct,MiniGrid-Empty-8x8-v0,5,50,3,2,1.0,24.0,0.915625,52.0,1.4197693824768067
Qwen/Qwen2.5-7B-Instruct,MiniGrid-Empty-8x8-v0,5,50,3,3,1.0,13.0,0.954296875,29.0,0.8051470756530762
Qwen/Qwen2.5-7B-Instruct,MiniGrid-LavaGapS7-v0,5,50,2,1,0.0,50.0,0.0,128.6,3.615312957763672
Qwen/Qwen2.5-7B-Instruct,MiniGrid-LavaGapS7-v0,5,50,2,2,0.0,32.0,0.0,84.6,2.6134518146514893
Qwen/Qwen2.5-7B-Instruct,MiniGrid-LavaGapS7-v0,5,50,2,3,0.4,27.4,0.37979591836734694,67.2,2.1231396198272705
Qwen/Qwen2.5-7B-Instruct,MiniGrid-LavaGapS7-v0,5,50,3,1,0.2,42.2,0.18989795918367347,98.8,2.7802570343017576
Qwen/Qwen2.5-7B-Instruct,MiniGrid-LavaGapS7-v0,5,50,3,2,0.0,50.0,0.0,134.0,4.101137971878051
Qwen/Qwen2.5-7B-Instruct,MiniGrid-LavaGapS7-v0,5,50,3,3,0.0,36.0,0.0,89.6,2.8203173160552977
