model,env,error
Qwen/Qwen2.5-3B-Instruct,MiniGrid-LavaGapS7-v0,MinigridTextWrapper.reset() got an unexpected keyword argument 'seed'
Qwen/Qwen2.5-3B-Instruct,MiniGrid-LavaGapS7-v0,MinigridTextWrapper.reset() got an unexpected keyword argument 'seed'
Qwen/Qwen2.5-3B-Instruct,MiniGrid-LavaGapS7-v0,MinigridTextWrapper.reset() got an unexpected keyword argument 'seed'
Qwen/Qwen2.5-3B-Instruct,MiniGrid-LavaGapS7-v0,MinigridTextWrapper.reset() got an unexpected keyword argument 'seed'
Qwen/Qwen2.5-3B-Instruct,MiniGrid-LavaGapS7-v0,MinigridTextWrapper.reset() got an unexpected keyword argument 'seed'
Qwen/Qwen2.5-3B-Instruct,MiniGrid-LavaGapS7-v0,MinigridTextWrapper.reset() got an unexpected keyword argument 'seed'
Qwen/Qwen2.5-3B-Instruct,MiniGrid-BlockedUnlockPickup-v0,MinigridTextWrapper.reset() got an unexpected keyword argument 'seed'
Qwen/Qwen2.5-3B-Instruct,MiniGrid-BlockedUnlockPickup-v0,MinigridTextWrapper.reset() got an unexpected keyword argument 'seed'
Qwen/Qwen2.5-3B-Instruct,MiniGrid-BlockedUnlockPickup-v0,MinigridTextWrapper.reset() got an unexpected keyword argument 'seed'
Qwen/Qwen2.5-3B-Instruct,MiniGrid-BlockedUnlockPickup-v0,MinigridTextWrapper.reset() got an unexpected keyword argument 'seed'
Qwen/Qwen2.5-3B-Instruct,MiniGrid-BlockedUnlockPickup-v0,MinigridTextWrapper.reset() got an unexpected keyword argument 'seed'
Qwen/Qwen2.5-3B-Instruct,MiniGrid-BlockedUnlockPickup-v0,MinigridTextWrapper.reset() got an unexpected keyword argument 'seed'
Qwen/Qwen2.5-3B-Instruct,MiniGrid-DoorKey-5x5-v0,MinigridTextWrapper.reset() got an unexpected keyword argument 'seed'
Qwen/Qwen2.5-3B-Instruct,MiniGrid-DoorKey-5x5-v0,MinigridTextWrapper.reset() got an unexpected keyword argument 'seed'
Qwen/Qwen2.5-3B-Instruct,MiniGrid-DoorKey-5x5-v0,MinigridTextWrapper.reset() got an unexpected keyword argument 'seed'
Qwen/Qwen2.5-3B-Instruct,MiniGrid-DoorKey-5x5-v0,MinigridTextWrapper.reset() got an unexpected keyword argument 'seed'
Qwen/Qwen2.5-3B-Instruct,MiniGrid-DoorKey-5x5-v0,MinigridTextWrapper.reset() got an unexpected keyword argument 'seed'
Qwen/Qwen2.5-3B-Instruct,MiniGrid-DoorKey-5x5-v0,MinigridTextWrapper.reset() got an unexpected keyword argument 'seed'
Qwen/Qwen2.5-3B-Instruct,MiniGrid-Empty-8x8-v0,MinigridTextWrapper.reset() got an unexpected keyword argument 'seed'
Qwen/Qwen2.5-3B-Instruct,MiniGrid-Empty-8x8-v0,MinigridTextWrapper.reset() got an unexpected keyword argument 'seed'
