env,episode,model,success,steps,reward,buffer_size,history_window,tokens,time
MiniGrid-LavaGapS7-v0,0,Qwen/Qwen2.5-3B-Instruct,False,50,0.0,2,1,150,6.123487710952759
MiniGrid-LavaGapS7-v0,1,Qwen/Qwen2.5-3B-Instruct,False,50,0.0,2,1,150,4.798166751861572
MiniGrid-LavaGapS7-v0,2,Qwen/Qwen2.5-3B-Instruct,False,50,0.0,2,1,150,4.809471845626831
MiniGrid-LavaGapS7-v0,3,Qwen/Qwen2.5-3B-Instruct,False,50,0.0,2,1,150,4.77140736579895
MiniGrid-LavaGapS7-v0,4,Qwen/Qwen2.5-3B-Instruct,False,50,0.0,2,1,150,4.789587020874023
MiniGrid-LavaGapS7-v0,0,Qwen/Qwen2.5-3B-Instruct,False,50,0.0,2,2,150,4.881607294082642
MiniGrid-LavaGapS7-v0,1,Qwen/Qwen2.5-3B-Instruct,False,50,0.0,2,2,150,4.7914769649505615
MiniGrid-LavaGapS7-v0,2,Qwen/Qwen2.5-3B-Instruct,False,50,0.0,2,2,150,4.833806991577148
MiniGrid-LavaGapS7-v0,3,Qwen/Qwen2.5-3B-Instruct,False,50,0.0,2,2,150,4.806972026824951
MiniGrid-LavaGapS7-v0,4,Qwen/Qwen2.5-3B-Instruct,False,50,0.0,2,2,150,4.81473445892334
MiniGrid-LavaGapS7-v0,0,Qwen/Qwen2.5-3B-Instruct,False,50,0.0,2,3,150,4.836556434631348
MiniGrid-LavaGapS7-v0,1,Qwen/Qwen2.5-3B-Instruct,False,50,0.0,2,3,150,4.823695659637451
MiniGrid-LavaGapS7-v0,2,Qwen/Qwen2.5-3B-Instruct,False,50,0.0,2,3,150,4.819777250289917
MiniGrid-LavaGapS7-v0,3,Qwen/Qwen2.5-3B-Instruct,False,50,0.0,2,3,149,4.790608882904053
MiniGrid-LavaGapS7-v0,4,Qwen/Qwen2.5-3B-Instruct,False,50,0.0,2,3,150,4.819541931152344
MiniGrid-LavaGapS7-v0,0,Qwen/Qwen2.5-3B-Instruct,False,50,0.0,3,1,150,4.820322513580322
MiniGrid-LavaGapS7-v0,1,Qwen/Qwen2.5-3B-Instruct,False,50,0.0,3,1,150,4.792476415634155
MiniGrid-LavaGapS7-v0,2,Qwen/Qwen2.5-3B-Instruct,False,50,0.0,3,1,150,4.82901406288147
MiniGrid-LavaGapS7-v0,3,Qwen/Qwen2.5-3B-Instruct,False,50,0.0,3,1,150,4.858626365661621
