model,env,buffer_size,history_window,success,steps,reward,tokens,time
Qwen/Qwen2.5-3B-Instruct,MiniGrid-BlockedUnlockPickup-v0,2,0,0.0,100.0,0.0,254.6,21.348396754264833
Qwen/Qwen2.5-3B-Instruct,MiniGrid-BlockedUnlockPickup-v0,2,1,0.0,100.0,0.0,273.6,8.625789356231689
Qwen/Qwen2.5-3B-Instruct,MiniGrid-BlockedUnlockPickup-v0,2,2,0.0,100.0,0.0,281.0,8.866308569908142
Qwen/Qwen2.5-3B-Instruct,MiniGrid-BlockedUnlockPickup-v0,3,0,0.0,100.0,0.0,205.4,20.047906708717345
Qwen/Qwen2.5-3B-Instruct,MiniGrid-BlockedUnlockPickup-v0,3,1,0.0,100.0,0.0,234.4,7.432059574127197
Qwen/Qwen2.5-3B-Instruct,MiniGrid-BlockedUnlockPickup-v0,3,2,0.0,100.0,0.0,242.3,7.734292387962341
Qwen/Qwen2.5-3B-Instruct,MiniGrid-DoorKey-5x5-v0,2,0,0.0,100.0,0.0,222.0,15.630801439285278
Qwen/Qwen2.5-3B-Instruct,MiniGrid-DoorKey-5x5-v0,2,1,0.0,100.0,0.0,291.5,9.197547936439515
Qwen/Qwen2.5-3B-Instruct,MiniGrid-DoorKey-5x5-v0,2,2,0.0,100.0,0.0,283.1,8.94473102092743
Qwen/Qwen2.5-3B-Instruct,MiniGrid-DoorKey-5x5-v0,3,0,0.0,100.0,0.0,204.9,15.405600094795227
Qwen/Qwen2.5-3B-Instruct,MiniGrid-DoorKey-5x5-v0,3,1,0.0,100.0,0.0,235.1,7.411424970626831
Qwen/Qwen2.5-3B-Instruct,MiniGrid-DoorKey-5x5-v0,3,2,0.0,100.0,0.0,238.3,7.566664719581604
Qwen/Qwen2.5-3B-Instruct,MiniGrid-Empty-8x8-v0,2,0,1.0,31.4,0.889609375,69.2,2.3725162982940673
Qwen/Qwen2.5-3B-Instruct,MiniGrid-Empty-8x8-v0,2,1,1.0,24.0,0.915625,52.0,1.6441402196884156
Qwen/Qwen2.5-3B-Instruct,MiniGrid-Empty-8x8-v0,2,2,1.0,24.0,0.915625,52.0,1.6601636171340943
Qwen/Qwen2.5-3B-Instruct,MiniGrid-Empty-8x8-v0,3,0,1.0,33.8,0.881171875,74.4,2.5778452157974243
Qwen/Qwen2.5-3B-Instruct,MiniGrid-Empty-8x8-v0,3,1,1.0,24.0,0.915625,52.0,1.6435380697250366
Qwen/Qwen2.5-3B-Instruct,MiniGrid-Empty-8x8-v0,3,2,1.0,24.0,0.915625,52.0,1.6517622947692872
Qwen/Qwen2.5-3B-Instruct,MiniGrid-LavaGapS7-v0,2,0,0.0,100.0,0.0,281.5,21.486698460578918
Qwen/Qwen2.5-3B-Instruct,MiniGrid-LavaGapS7-v0,2,1,0.0,100.0,0.0,300.0,9.406903266906738
Qwen/Qwen2.5-3B-Instruct,MiniGrid-LavaGapS7-v0,2,2,0.0,100.0,0.0,300.0,9.44345464706421
Qwen/Qwen2.5-3B-Instruct,MiniGrid-LavaGapS7-v0,3,0,0.0,100.0,0.0,282.7,21.440153789520263
Qwen/Qwen2.5-3B-Instruct,MiniGrid-LavaGapS7-v0,3,1,0.0,100.0,0.0,300.0,9.416868591308594
Qwen/Qwen2.5-3B-Instruct,MiniGrid-LavaGapS7-v0,3,2,0.0,100.0,0.0,300.0,9.40490381717682
Qwen/Qwen2.5-7B-Instruct,MiniGrid-BlockedUnlockPickup-v0,2,0,0.0,100.0,0.0,216.7,33.34342062473297
Qwen/Qwen2.5-7B-Instruct,MiniGrid-BlockedUnlockPickup-v0,2,1,0.0,100.0,0.0,229.7,6.296868824958802
